,id,entry_id,cx,cy,filter,remarks,area
0,10287,QD001,5049918.482816503,3763115.639995449,True,,0.733
1,10288,QD002,5051998.566012034,3762114.6347673787,True,,1.217
2,10289,QD003,5054599.308568985,3768559.8754595025,True,,1.942
3,10290,QD004,5048830.041603214,3780984.571919551,True,,3.019
4,10291,QD005,5057964.763826385,3764144.5722741247,True,,7.484
5,10292,QD006,5060712.649830918,3739028.447009177,True,,0.322
6,10293,QD007a,5062843.171915122,3773150.4706182843,True,,10.571
7,10294,QD007b,5063186.158681074,3773151.1619925834,True,,2.373
8,10296,QD008a,5047556.48219072,3766335.553040243,True,,0.314
9,10297,QD008b,5047189.3578467015,3766175.096091461,True,,1.029
10,10298,QD008c,5047606.917292225,3766693.835872866,True,,4.483
11,10299,QD008d,5047443.857321732,3766541.9251282443,True,,0.856
12,10301,QD010,5047186.858043842,3767842.633254614,True,,8.74
13,10302,QD099,5058801.113342108,3742462.4721926358,False,,0.025
14,10303,QD011,5055923.409220529,3763408.174363828,True,,4.416
15,10304,QD012,5049652.94680697,3783164.4868321656,True,,8.03
16,10309,QD017,5048965.740404695,3786849.9649084285,True,,10.812
17,10310,QD018,5049611.5294866925,3785694.645588495,True,,6.447
18,10312,QD020a,5050564.041889573,3783558.3071048274,True,,24.461
19,10313,QD020b,5050139.469889385,3783691.6988550196,True,,9.192
20,10314,QD020c,5050572.737909305,3782922.8081400148,True,,1.289
21,10318,QD024,5044882.66197289,3767824.258138012,True,,0.86
22,10320,QD026,5049428.741227426,3766825.4720510268,True,,31.648
23,10321,QD027,5054205.678782506,3776276.3451794297,True,,5.253
24,10322,QD028,5061058.9157232,3782425.6416320056,True,,12.752
25,10323,QD029,5061035.771291461,3779430.7093352587,True,,9.426
26,10326,QD032a,5061788.849121016,3773968.5614240034,True,,0.315
27,10327,QD032b,5062246.084130106,3773804.189197631,True,,0.242
28,10328,QD032c,5061786.9083690625,3774090.936109067,True,,0.137
29,10335,QD040,5056496.838062308,3758872.7128353943,True,,0.864
