,centroid,shape_id,cx,cy,id
0,POINT (4927754.5165869715 3929864.6778115295),5.0,4927754.5165869715,3929864.6778115295,neg0
1,POINT (4927355.906091301 3928844.5543384748),5.0,4927355.906091301,3928844.5543384748,neg1
2,POINT (4927583.115973075 3929157.296219575),5.0,4927583.115973075,3929157.296219575,neg2
3,POINT (4927787.213078849 3929428.0730131776),5.0,4927787.213078849,3929428.0730131776,neg3
4,POINT (4927474.374740236 3928641.7303167335),5.0,4927474.374740236,3928641.7303167335,neg4
5,POINT (4928018.400975414 3928630.891053623),5.0,4928018.400975414,3928630.891053623,neg5
6,POINT (4927984.939152968 3929372.68520212),5.0,4927984.939152968,3929372.68520212,neg6
7,POINT (4928594.914279309 3928453.5086825886),5.0,4928594.914279309,3928453.5086825886,neg7
8,POINT (4927500.929405482 3929412.450690571),5.0,4927500.929405482,3929412.450690571,neg8
9,POINT (4927704.764417658 3929070.5052839764),5.0,4927704.764417658,3929070.5052839764,neg9
10,POINT (4928208.129296789 3929049.1626822646),5.0,4928208.129296789,3929049.1626822646,neg10
11,POINT (4927681.915848641 3929320.9504165053),5.0,4927681.915848641,3929320.9504165053,neg11
12,POINT (4927812.462156548 3928687.912477559),5.0,4927812.462156548,3928687.912477559,neg12
13,POINT (4927648.132000003 3928932.4570361087),5.0,4927648.132000003,3928932.4570361087,neg13
14,POINT (4927638.374027072 3929030.9753334974),5.0,4927638.374027072,3929030.9753334974,neg14
15,POINT (4928118.487429417 3928690.2251415206),5.0,4928118.487429417,3928690.2251415206,neg15
16,POINT (4927855.10252564 3928934.3554191105),5.0,4927855.10252564,3928934.3554191105,neg16
17,POINT (4927882.350206874 3928678.0150754037),5.0,4927882.350206874,3928678.0150754037,neg17
18,POINT (4928341.221711454 3928575.7944025747),5.0,4928341.221711454,3928575.7944025747,neg18
19,POINT (4927472.745793682 3929681.126638336),5.0,4927472.745793682,3929681.126638336,neg19
20,POINT (5091169.583121805 3722972.055884072),6.0,5091169.583121805,3722972.055884072,neg20
21,POINT (5090546.106119719 3723251.7807985204),6.0,5090546.106119719,3723251.7807985204,neg21
22,POINT (5090489.448154747 3723452.1880732975),6.0,5090489.448154747,3723452.1880732975,neg22
23,POINT (5089885.1249773 3723478.596508213),6.0,5089885.1249773,3723478.596508213,neg23
24,POINT (5090076.96239954 3723655.460862347),6.0,5090076.96239954,3723655.460862347,neg24
25,POINT (5091765.134728764 3723288.7387297084),6.0,5091765.134728764,3723288.7387297084,neg25
26,POINT (5090416.623261986 3723504.4501463096),6.0,5090416.623261986,3723504.4501463096,neg26
27,POINT (5091498.140701603 3723723.86396273),6.0,5091498.140701603,3723723.86396273,neg27
28,POINT (5090313.197343907 3722884.9286328754),6.0,5090313.197343907,3722884.9286328754,neg28
29,POINT (5090649.218927032 3723090.4679243644),6.0,5090649.218927032,3723090.4679243644,neg29
30,POINT (5090827.984050573 3722929.148242473),6.0,5090827.984050573,3722929.148242473,neg30
31,POINT (5090735.660429164 3723310.8443967286),6.0,5090735.660429164,3723310.8443967286,neg31
32,POINT (5090908.403406715 3723701.3159005637),6.0,5090908.403406715,3723701.3159005637,neg32
33,POINT (5089974.940733049 3723076.995518798),6.0,5089974.940733049,3723076.995518798,neg33
34,POINT (5090403.514922741 3723029.043441619),6.0,5090403.514922741,3723029.043441619,neg34
35,POINT (5090762.459748816 3723335.937626739),6.0,5090762.459748816,3723335.937626739,neg35
36,POINT (5090156.459601941 3723635.1870251615),6.0,5090156.459601941,3723635.1870251615,neg36
37,POINT (5091003.237312897 3723812.5420996044),6.0,5091003.237312897,3723812.5420996044,neg37
38,POINT (5090786.702921215 3723157.079723263),6.0,5090786.702921215,3723157.079723263,neg38
39,POINT (5091890.227712417 3723882.464977302),6.0,5091890.227712417,3723882.464977302,neg39
40,POINT (4952784.138161933 3737110.558748259),7.0,4952784.138161933,3737110.558748259,neg40
41,POINT (4952521.581187926 3738393.041855288),7.0,4952521.581187926,3738393.041855288,neg41
42,POINT (4952767.396240046 3738570.680510367),7.0,4952767.396240046,3738570.680510367,neg42
43,POINT (4951643.624673599 3736829.925410065),7.0,4951643.624673599,3736829.925410065,neg43
44,POINT (4952351.796994354 3737538.867844134),7.0,4952351.796994354,3737538.867844134,neg44
45,POINT (4952191.751165206 3736771.208908109),7.0,4952191.751165206,3736771.208908109,neg45
46,POINT (4951954.3521817485 3737686.549563062),7.0,4951954.3521817485,3737686.549563062,neg46
47,POINT (4952300.839937349 3737902.7220997396),7.0,4952300.839937349,3737902.7220997396,neg47
48,POINT (4951943.537122262 3737804.881306127),7.0,4951943.537122262,3737804.881306127,neg48
49,POINT (4951569.529727257 3737156.1949008964),7.0,4951569.529727257,3737156.1949008964,neg49
50,POINT (4951410.969439238 3737333.1790710096),7.0,4951410.969439238,3737333.1790710096,neg50
51,POINT (4952670.295640977 3736954.903308726),7.0,4952670.295640977,3736954.903308726,neg51
52,POINT (4951630.633155023 3737101.8802122595),7.0,4951630.633155023,3737101.8802122595,neg52
53,POINT (4952050.255346238 3737688.003025886),7.0,4952050.255346238,3737688.003025886,neg53
54,POINT (4951794.251708275 3736546.0086904205),7.0,4951794.251708275,3736546.0086904205,neg54
55,POINT (4952740.753740714 3737354.7073886227),7.0,4952740.753740714,3737354.7073886227,neg55
56,POINT (4952404.8057547575 3737490.0726127326),7.0,4952404.8057547575,3737490.0726127326,neg56
57,POINT (4952616.820971766 3737170.604085085),7.0,4952616.820971766,3737170.604085085,neg57
58,POINT (4952148.20711587 3736273.5115470923),7.0,4952148.20711587,3736273.5115470923,neg58
59,POINT (4952097.225993135 3737239.742124585),7.0,4952097.225993135,3737239.742124585,neg59
60,POINT (5168593.839780644 3637190.3712211945),8.0,5168593.839780644,3637190.3712211945,neg60
61,POINT (5167308.112477229 3636289.3894152483),8.0,5167308.112477229,3636289.3894152483,neg61
62,POINT (5168200.822510695 3636628.3701920146),8.0,5168200.822510695,3636628.3701920146,neg62
63,POINT (5167340.846908211 3636131.8600401087),8.0,5167340.846908211,3636131.8600401087,neg63
