,id,entry_id,cx,cy
0,10287,QD001,5049918.482816503,3763115.639995449
1,10288,QD002,5051998.566012034,3762114.6347673787
2,10289,QD003,5054599.308568985,3768559.8754595025
3,10290,QD004,5048830.041603214,3780984.571919551
4,10291,QD005,5057964.763826385,3764144.5722741247
5,10292,QD006,5060712.649830918,3739028.447009177
6,10293,QD007a,5062843.171915122,3773150.4706182843
7,10294,QD007b,5063186.158681074,3773151.1619925834
8,10296,QD008a,5047556.48219072,3766335.553040243
9,10297,QD008b,5047189.3578467015,3766175.096091461
10,10298,QD008c,5047606.917292225,3766693.835872866
11,10299,QD008d,5047443.857321732,3766541.9251282443
12,10301,QD010,5047186.858043842,3767842.633254614
13,10302,QD099,5058801.113342108,3742462.4721926358
14,10303,QD011,5055923.409220529,3763408.174363828
15,10304,QD012,5049652.94680697,3783164.4868321656
18,10309,QD017,5048965.740404695,3786849.9649084285
19,10310,QD018,5049611.5294866925,3785694.645588495
20,10312,QD020a,5050564.041889573,3783558.3071048274
21,10313,QD020b,5050139.469889385,3783691.6988550196
22,10314,QD020c,5050572.737909305,3782922.8081400148
23,10318,QD024,5044882.66197289,3767824.258138012
24,10320,QD026,5049428.741227426,3766825.4720510268
25,10321,QD027,5054205.678782506,3776276.3451794297
26,10322,QD028,5061058.9157232,3782425.6416320056
27,10323,QD029,5061035.771291461,3779430.7093352587
28,10326,QD032a,5061788.849121016,3773968.5614240034
29,10327,QD032b,5062246.084130106,3773804.189197631
30,10328,QD032c,5061786.9083690625,3774090.936109067
31,10335,QD040,5056496.838062308,3758872.7128353943
32,10336,QD041,5060351.350130989,3758227.761363811
33,10337,QD042,5060487.307522769,3758484.5297702914
34,10338,QD043,5061634.009871942,3760738.6088528
35,10339,QD044,5063796.195081453,3759922.792891547
36,10340,QD045,5062199.995913,3761066.5073702508
37,10341,QD046,5062035.541957824,3759811.0338732656
38,10342,QD047,5074460.356062872,3753698.992075468
40,10345,QD050,5061261.501689692,3755576.1737586088
41,10347,QD052a,5068892.93433809,3754116.807407054
42,10348,QD052b,5069254.875898763,3754275.6656521074
43,10349,QD052c,5069574.241282498,3754374.086838641
44,10350,QD052d,5069719.452876184,3753745.899855163
45,10351,QD053,5065892.163097459,3753569.4987551896
46,10352,QD054a,5071316.892702271,3747945.5754985805
47,10353,QD054b,5071338.197184868,3748211.4717563298
48,10354,QD054c,5071030.603703421,3748282.4312266004
49,10355,QD055,5063562.184887385,3768575.2805332914
50,10372,QD067,5062940.378888877,3738661.167074057
51,10356,QD056,5055453.117745416,3772894.5855162973
52,10358,QD058,5053501.44003022,3772661.262423977
53,10359,QD059,5052790.277932772,3771465.6286822096
54,10360,QD060,5052527.232655862,3773393.6288386052
